id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
1,No candidate mentioned,1,yes,1,Neutral,0.6578,None of the above,1,,I_Am_Kenzi,,5,,,RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate,,8/7/2015 9:54,6.29697E+17,,Quito
2,Scott Walker,1,yes,1,Positive,0.6333,None of the above,1,,PeacefulQuest,,26,,,RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF…,,8/7/2015 9:54,6.29697E+17,,
3,No candidate mentioned,1,yes,1,Neutral,0.6629,None of the above,0.6629,,PussssyCroook,,27,,,RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.,,8/7/2015 9:54,6.29697E+17,,
4,No candidate mentioned,1,yes,1,Positive,1,None of the above,0.7039,,MattFromTexas31,,138,,,RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on …,,8/7/2015 9:54,6.29697E+17,Texas,Central Time (US & Canada)
5,Donald Trump,1,yes,1,Positive,0.7045,None of the above,1,,sharonDay5,,156,,,RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co…,,8/7/2015 9:54,6.29697E+17,,Arizona
6,Ted Cruz,0.6332,yes,1,Positive,0.6332,None of the above,1,,DRJohnson11,,228,,,"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews",,8/7/2015 9:54,6.29697E+17,,Central Time (US & Canada)
7,No candidate mentioned,1,yes,1,Negative,0.6761,FOX News or Moderators,1,,DebWilliams57,,17,,,RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://…,,8/7/2015 9:54,6.29697E+17,North Georgia,Eastern Time (US & Canada)
8,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,RaulAReyes,,0,,,Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate,,8/7/2015 9:54,6.29697E+17,New York NY,Eastern Time (US & Canada)
9,Ben Carson,1,yes,1,Negative,0.6889,None of the above,0.6444,,kengpdx,,0,,,"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate",,8/7/2015 9:54,6.29697E+17,,Pacific Time (US & Canada)
10,No candidate mentioned,0.4594,yes,0.6778,Negative,0.6778,None of the above,0.4594,,Kathielarsyn,,1,,,RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD,,8/7/2015 9:54,6.29697E+17,,
11,Donald Trump,1,yes,1,Negative,1,None of the above,1,,jnjsmom,,0,,,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,,8/7/2015 9:54,6.29697E+17,"Peoria, IL",Central Time (US & Canada)
12,Mike Huckabee,1,yes,1,Positive,1,Foreign Policy,0.652,,KLWorster,,188,,,"RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 

Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV",,8/7/2015 9:54,6.29697E+17,"Fargo, ND",Central Time (US & Canada)
13,No candidate mentioned,1,yes,1,Negative,0.6957,None of the above,1,,wiggerblonde,,0,,,Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ,,8/7/2015 9:54,6.29697E+17,,
14,Jeb Bush,0.6947,yes,1,Neutral,0.6421,Foreign Policy,1,,NCBibleThumper,,5,,,"RT @ArcticFox2016: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/TtFG7KYcd9""",,8/7/2015 9:54,6.29697E+17,"Montgomery, AL ",Central Time (US & Canada)
15,Scott Walker,1,yes,1,Positive,1,None of the above,1,,In_Related_News,,215,,,RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate,,8/7/2015 9:54,6.29697E+17,"San Diego, California",Pacific Time (US & Canada)
16,Chris Christie,1,yes,1,Negative,1,None of the above,0.6778,,MDiner92,,0,,,Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate,,8/7/2015 9:54,6.29697E+17,,Central Time (US & Canada)
17,Donald Trump,0.3923,yes,0.6264,Negative,0.6264,Women's Issues (not abortion though),0.3923,,gina_catch22gg,,45,,,RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.…,,8/7/2015 9:54,6.29697E+17,,
18,Donald Trump,0.6404,yes,1,Negative,0.6629,FOX News or Moderators,1,,ERNESTZorro,,7,,,RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx,,8/7/2015 9:54,6.29697E+17,,Mountain Time (US & Canada)
19,No candidate mentioned,1,yes,1,Negative,1,None of the above,0.686,,LordWhatAMess,,0,,,reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate,,8/7/2015 9:54,6.29697E+17,,Eastern Time (US & Canada)
20,Mike Huckabee,1,yes,1,Negative,0.6669,LGBT issues,1,,oak523,,93,,,"RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate",,8/7/2015 9:54,6.29697E+17,NJ,Eastern Time (US & Canada)
